pattern,quality,support,pattern_auc,global_auc,dataset_size
"[{'A'}, {'B'}, {'C'}]",1.0313974610894319,50,0.6512000000000001,0.9035126752279188,5050
"[{'M'}, {'X'}, {'N'}, {'Z'}]",0.8810693600876048,24,0.6134453781512605,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'W'}, {'Z'}]",0.8206608291280463,20,0.6161616161616161,0.9035126752279188,5050
"[{'P'}, {'V'}, {'P'}, {'Z'}]",0.5556136148342561,20,0.7023809523809524,0.9035126752279188,5050
"[{'X'}, {'V'}]",0.5449060786259864,632,0.8785595735050044,0.9035126752279188,5050
"[{'W'}, {'O'}, {'M'}]",0.5414977480162857,132,0.8092819210344031,0.9035126752279188,5050
"[{'Z'}, {'O'}]",0.5389510209591069,659,0.8824195866032939,0.9035126752279188,5050
"[{'V'}, {'X'}]",0.538114409488664,633,0.8827681923476317,0.9035126752279188,5050
"[{'O'}, {'M'}]",0.5367422926954573,654,0.8838851477740367,0.9035126752279188,5050
"[{'O'}, {'V'}]",0.5361649428679595,638,0.8841788393209633,0.9035126752279188,5050
"[{'N'}, {'U'}]",0.535616177217678,636,0.8845674617301531,0.9035126752279188,5050
"[{'W'}, {'N'}]",0.5335740652075058,657,0.8862928637627433,0.9035126752279188,5050
"[{'W'}, {'T'}, {'O'}]",0.5326998362004101,118,0.8096198156682028,0.9035126752279188,5050
"[{'W'}, {'O'}]",0.5322099998469646,638,0.8873099639336852,0.9035126752279188,5050
"[{'W'}, {'M'}]",0.5318259449895473,641,0.8876654984423676,0.9035126752279188,5050
"[{'N'}, {'Z'}]",0.5294527627393777,599,0.8896966993755576,0.9035126752279188,5050
"[{'Y'}, {'N'}]",0.5287287399658005,691,0.8909370070812498,0.9035126752279188,5050
"[{'M'}, {'V'}]",0.5282188256497755,672,0.8914135374312366,0.9035126752279188,5050
"[{'N'}, {'M'}]",0.5281548463835207,612,0.8912017259056733,0.9035126752279188,5050
"[{'X'}, {'N'}]",0.5279111071477751,649,0.8916646054909722,0.9035126752279188,5050
"[{'X'}, {'O'}]",0.526933655897187,639,0.8928359449192782,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'Z'}]",0.5201914412350532,111,0.8127057274522713,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'W'}]",0.49555698815334204,106,0.8214285714285714,0.9035126752279188,5050
"[{'Z'}, {'M'}, {'O'}]",0.49259441746968424,135,0.8274257864421798,0.9035126752279188,5050
"[{'U'}, {'Y'}, {'U'}]",0.4721509461594473,130,0.8355029585798817,0.9035126752279188,5050
"[{'V'}, {'X'}, {'M'}]",0.4700589572037208,111,0.8337670787247886,0.9035126752279188,5050
"[{'N'}, {'N'}, {'V'}]",0.4682119453142677,106,0.8338680926916221,0.9035126752279188,5050
"[{'N'}, {'M'}, {'V'}]",0.46816570701783067,119,0.8358757062146893,0.9035126752279188,5050
"[{'O'}, {'M'}, {'V'}]",0.46194286895426917,124,0.8396029258098223,0.9035126752279188,5050
"[{'X'}, {'V'}, {'T'}]",0.46186794707783163,112,0.8379942140790743,0.9035126752279188,5050
"[{'N'}, {'W'}, {'X'}]",0.46164074247132847,114,0.8383995037220843,0.9035126752279188,5050
"[{'W'}, {'N'}, {'T'}]",0.46093312509096795,117,0.8391812865497076,0.9035126752279188,5050
"[{'O'}, {'Y'}, {'N'}]",0.4587818223823049,137,0.8427350427350427,0.9035126752279188,5050
"[{'M'}, {'T'}, {'V'}]",0.4583534477266509,128,0.8419117647058824,0.9035126752279188,5050
"[{'Y'}, {'N'}, {'U'}]",0.45780778868862493,121,0.8413223140495868,0.9035126752279188,5050
"[{'W'}, {'O'}, {'V'}]",0.4531447505271219,112,0.8426282051282051,0.9035126752279188,5050
"[{'M'}, {'V'}, {'V'}]",0.4493006397595537,120,0.8457904973603779,0.9035126752279188,5050
"[{'O'}, {'N'}, {'M'}]",0.4477898436353841,115,0.8460375075620085,0.9035126752279188,5050
"[{'Y'}, {'O'}, {'V'}, {'W'}]",0.4476329139998716,29,0.764423076923077,0.9035126752279188,5050
"[{'X'}, {'Z'}, {'Z'}]",0.44674642360578465,124,0.8477034649476228,0.9035126752279188,5050
"[{'T'}, {'P'}, {'Z'}]",0.4461306261274971,127,0.8483870967741935,0.9035126752279188,5050
"[{'Z'}, {'X'}, {'O'}]",0.44532250504119175,128,0.8489583333333334,0.9035126752279188,5050
"[{'Z'}, {'O'}, {'O'}]",0.44478579485237135,116,0.8479166666666667,0.9035126752279188,5050
"[{'V'}, {'X'}, {'V'}]",0.44381823024306843,125,0.849512069851053,0.9035126752279188,5050
"[{'N'}, {'V'}, {'X'}]",0.4437880568761764,116,0.8485119047619049,0.9035126752279188,5050
"[{'W'}, {'M'}, {'V'}]",0.44242943484799035,120,0.8497902097902098,0.9035126752279188,5050
"[{'Y'}, {'M'}, {'N'}]",0.44236630728501247,119,0.8497159090909091,0.9035126752279188,5050
"[{'V'}, {'X'}, {'N'}]",0.4406798543819963,120,0.8508571428571429,0.9035126752279188,5050
"[{'W'}, {'Y'}, {'O'}, {'W'}]",0.44030209584527513,25,0.7628205128205128,0.9035126752279188,5050
"[{'X'}, {'U'}, {'V'}]",0.43997872396763293,99,0.8487179487179487,0.9035126752279188,5050
"[{'Y'}, {'V'}, {'W'}]",0.4383209379635533,125,0.8528505392912173,0.9035126752279188,5050
"[{'N'}, {'O'}, {'M'}]",0.4381730736350895,118,0.852209540532631,0.9035126752279188,5050
"[{'N'}, {'V'}, {'V'}]",0.4372992886270638,107,0.8515130190007038,0.9035126752279188,5050
"[{'O'}, {'U'}, {'U'}]",0.43710161346853793,114,0.8524590163934427,0.9035126752279188,5050
"[{'X'}, {'V'}, {'O'}]",0.4344785051033824,124,0.8552242814934192,0.9035126752279188,5050
"[{'Z'}, {'Z'}, {'M'}]",0.4344608761203259,136,0.856338028169014,0.9035126752279188,5050
"[{'P'}, {'N'}, {'N'}]",0.433174344357673,125,0.8561890087313816,0.9035126752279188,5050
"[{'O'}, {'V'}, {'M'}]",0.4329081290857806,128,0.8566468253968255,0.9035126752279188,5050
"[{'V'}, {'M'}, {'V'}]",0.43275778505146156,121,0.8560855263157894,0.9035126752279188,5050
"[{'W'}, {'N'}, {'M'}]",0.4327220322014437,127,0.8566799601196411,0.9035126752279188,5050
"[{'Z'}, {'M'}, {'N'}]",0.43257803634539405,118,0.8559102674719586,0.9035126752279188,5050
"[{'M'}, {'M'}, {'V'}]",0.4318805733980411,123,0.8568783068783068,0.9035126752279188,5050
"[{'U'}, {'N'}, {'U'}]",0.4312370490854337,129,0.8578692493946731,0.9035126752279188,5050
"[{'W'}, {'Y'}, {'O'}]",0.4309944182248734,121,0.8573021181716833,0.9035126752279188,5050
"[{'N'}, {'Y'}, {'U'}]",0.4306484539886384,126,0.8580075662042875,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'U'}]",0.4304735637217698,106,0.8561253561253561,0.9035126752279188,5050
"[{'W'}, {'W'}, {'O'}]",0.42972690139220204,109,0.8569979716024341,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'X'}]",0.42876580292601574,97,0.8563512361466326,0.9035126752279188,5050
"[{'Y'}, {'N'}, {'N'}]",0.427201210546335,123,0.8602122015915119,0.9035126752279188,5050
"[{'W'}, {'U'}, {'Y'}]",0.42580995346557415,125,0.8614241803278689,0.9035126752279188,5050
"[{'O'}, {'P'}, {'Z'}]",0.4255369226454101,101,0.8593380614657211,0.9035126752279188,5050
"[{'T'}, {'M'}, {'Y'}]",0.42542268790917037,118,0.861111111111111,0.9035126752279188,5050
"[{'W'}, {'Y'}, {'T'}]",0.42539954562214677,130,0.8621428571428571,0.9035126752279188,5050
"[{'Z'}, {'X'}, {'P'}]",0.4253349817395714,122,0.8615301724137931,0.9035126752279188,5050
"[{'N'}, {'Y'}, {'W'}]",0.4251447547560607,100,0.8595438175270108,0.9035126752279188,5050
"[{'Z'}, {'Z'}, {'V'}]",0.42428993695482087,99,0.8601312551271533,0.9035126752279188,5050
"[{'N'}, {'U'}, {'N'}]",0.4241793789020717,126,0.8627552339105712,0.9035126752279188,5050
"[{'N'}, {'Z'}, {'M'}]",0.4241778717041599,112,0.8615384615384616,0.9035126752279188,5050
"[{'P'}, {'Z'}, {'P'}]",0.42376561473527885,118,0.8624092888243832,0.9035126752279188,5050
"[{'M'}, {'X'}, {'Z'}]",0.42363876721209515,133,0.863718820861678,0.9035126752279188,5050
"[{'O'}, {'V'}, {'O'}]",0.42348217691314427,115,0.8623714458560193,0.9035126752279188,5050
"[{'N'}, {'U'}, {'T'}]",0.4233572288354154,136,0.864157473502055,0.9035126752279188,5050
"[{'T'}, {'W'}, {'X'}]",0.423352995793734,140,0.8644448987937028,0.9035126752279188,5050
"[{'W'}, {'V'}, {'N'}]",0.4233389114447659,125,0.8633333333333334,0.9035126752279188,5050
"[{'P'}, {'P'}, {'Z'}]",0.42328998439397236,109,0.8619737750172534,0.9035126752279188,5050
"[{'W'}, {'O'}, {'T'}]",0.4222241141411879,124,0.8641460234680575,0.9035126752279188,5050
"[{'Z'}, {'W'}, {'O'}]",0.42212559929965476,121,0.8639846743295019,0.9035126752279188,5050
"[{'O'}, {'N'}, {'V'}]",0.4220951648021566,123,0.8641711229946523,0.9035126752279188,5050
"[{'P'}, {'Z'}, {'X'}]",0.4220215019408955,125,0.8643892339544514,0.9035126752279188,5050
"[{'W'}, {'M'}, {'T'}]",0.42080401378658205,120,0.865,0.9035126752279188,5050
"[{'P'}, {'U'}, {'Z'}]",0.4202498934393355,127,0.8660049627791563,0.9035126752279188,5050
"[{'O'}, {'V'}, {'T'}]",0.4195401798634186,125,0.8664596273291926,0.9035126752279188,5050
"[{'X'}, {'V'}, {'W'}]",0.4193509360018396,130,0.86698224852071,0.9035126752279188,5050
"[{'P'}, {'Z'}, {'W'}]",0.4189762444075962,120,0.8665714285714285,0.9035126752279188,5050
"[{'X'}, {'N'}, {'V'}]",0.41886790075522295,112,0.8660256410256411,0.9035126752279188,5050
"[{'P'}, {'O'}, {'Z'}]",0.41878381485008276,98,0.8648310387984981,0.9035126752279188,5050
"[{'Z'}, {'Y'}, {'N'}]",0.41878049074843704,126,0.8671894763470782,0.9035126752279188,5050
"[{'X'}, {'T'}, {'Z'}]",0.4185165746722692,117,0.866745283018868,0.9035126752279188,5050
"[{'P'}, {'Z'}, {'O'}]",0.4183151859675298,114,0.8666872873492112,0.9035126752279188,5050
"[{'N'}, {'U'}, {'Z'}]",0.418312993314666,131,0.8679468942626838,0.9035126752279188,5050
"[{'X'}, {'T'}, {'V'}]",0.4182912364537712,130,0.8678977272727273,0.9035126752279188,5050
"[{'X'}, {'T'}, {'N'}]",0.41827245842514404,123,0.8674181427804616,0.9035126752279188,5050
"[{'N'}, {'W'}, {'Z'}]",0.41802800149795105,124,0.8677083333333333,0.9035126752279188,5050
"[{'M'}, {'N'}, {'O'}]",0.4179311212856417,114,0.8670360110803325,0.9035126752279188,5050
"[{'N'}, {'W'}, {'N'}]",0.4175820323387255,113,0.8672761664564944,0.9035126752279188,5050
"[{'N'}, {'N'}, {'M'}]",0.4175609727835494,113,0.8672955974842766,0.9035126752279188,5050
"[{'X'}, {'X'}, {'O'}]",0.4171846090319329,96,0.866152450090744,0.9035126752279188,5050
"[{'P'}, {'W'}, {'Z'}]",0.41710611739245107,114,0.8677966101694915,0.9035126752279188,5050
"[{'V'}, {'X'}, {'O'}]",0.4170832501570494,103,0.8669008587041375,0.9035126752279188,5050
"[{'W'}, {'Z'}, {'M'}]",0.41695302638720455,131,0.8691544638639583,0.9035126752279188,5050
"[{'O'}, {'V'}, {'X'}]",0.41677438466991823,124,0.8688435374149661,0.9035126752279188,5050
"[{'M'}, {'M'}, {'T'}]",0.41656089345420666,132,0.8695752009184845,0.9035126752279188,5050
"[{'W'}, {'U'}, {'Y'}, {'T'}]",0.4164648011663098,23,0.7727272727272727,0.9035126752279188,5050
"[{'X'}, {'N'}, {'Z'}]",0.4163831610112132,125,0.8692743180648481,0.9035126752279188,5050
"[{'M'}, {'Z'}, {'Z'}]",0.41619217843678347,114,0.8686585745409274,0.9035126752279188,5050
"[{'X'}, {'M'}, {'V'}]",0.41606888530575203,112,0.868622448979592,0.9035126752279188,5050
"[{'W'}, {'T'}, {'W'}]",0.41602874192122663,131,0.87,0.9035126752279188,5050
"[{'O'}, {'Y'}, {'V'}]",0.41594053976138634,125,0.8696876600102406,0.9035126752279188,5050
"[{'U'}, {'Z'}, {'O'}]",0.41589036072634256,135,0.8703785211267605,0.9035126752279188,5050
"[{'W'}, {'O'}, {'O'}]",0.41586472498260507,116,0.8691224917640011,0.9035126752279188,5050
"[{'Z'}, {'M'}, {'V'}]",0.41580826633369905,137,0.8705756929637527,0.9035126752279188,5050
"[{'M'}, {'Z'}, {'M'}]",0.41577320960348774,130,0.8701737451737452,0.9035126752279188,5050
"[{'N'}, {'W'}, {'U'}]",0.41526254558819053,105,0.8688524590163935,0.9035126752279188,5050
"[{'P'}, {'N'}, {'Z'}]",0.4151414639165655,115,0.8697504564820451,0.9035126752279188,5050
"[{'Z'}, {'W'}, {'M'}]",0.41514006750984,134,0.8710180441078191,0.9035126752279188,5050
"[{'P'}, {'N'}, {'U'}]",0.41489678858878887,126,0.8707482993197279,0.9035126752279188,5050
"[{'X'}, {'V'}, {'U'}]",0.41485634991305664,117,0.8701754385964913,0.9035126752279188,5050
"[{'P'}, {'U'}, {'P'}]",0.4147895796561878,110,0.869724160850781,0.9035126752279188,5050
"[{'N'}, {'P'}, {'Z'}]",0.41478490654318634,111,0.8698051948051948,0.9035126752279188,5050
"[{'M'}, {'V'}, {'T'}]",0.41455037606858214,128,0.8712121212121212,0.9035126752279188,5050
"[{'Y'}, {'N'}, {'T'}]",0.41433509725466977,121,0.870967741935484,0.9035126752279188,5050
"[{'Z'}, {'O'}, {'M'}]",0.41432751667256096,134,0.8717948717948718,0.9035126752279188,5050
"[{'V'}, {'W'}, {'N'}]",0.41426720839749787,120,0.8709677419354839,0.9035126752279188,5050
"[{'Z'}, {'P'}, {'M'}]",0.4142488182587122,120,0.8709860755896561,0.9035126752279188,5050
"[{'N'}, {'U'}, {'X'}]",0.41415618429867085,117,0.870872641509434,0.9035126752279188,5050
"[{'U'}, {'M'}, {'V'}]",0.41398718309016425,106,0.8702317290552585,0.9035126752279188,5050
"[{'U'}, {'O'}, {'Y'}]",0.4136821285189344,116,0.8712841854934601,0.9035126752279188,5050
"[{'T'}, {'W'}, {'M'}]",0.4136750693594675,133,0.8723744292237443,0.9035126752279188,5050
"[{'W'}, {'N'}, {'O'}]",0.4133847386187033,118,0.8717261904761905,0.9035126752279188,5050
"[{'W'}, {'T'}, {'V'}]",0.4133374604352681,128,0.8724137931034482,0.9035126752279188,5050
"[{'Y'}, {'X'}, {'N'}]",0.413326534103878,121,0.8719846491228069,0.9035126752279188,5050
"[{'X'}, {'V'}, {'N'}]",0.41247271009216235,131,0.873474178403756,0.9035126752279188,5050
"[{'X'}, {'W'}, {'Z'}]",0.4120648765092946,127,0.8736681887366818,0.9035126752279188,5050
"[{'X'}, {'W'}, {'M'}]",0.41187111388606035,132,0.8741583468771766,0.9035126752279188,5050
"[{'Y'}, {'N'}, {'Z'}]",0.4118297210812145,113,0.8730407523510972,0.9035126752279188,5050
"[{'O'}, {'W'}, {'O'}]",0.4118203320031719,123,0.8736900165471594,0.9035126752279188,5050
"[{'Y'}, {'M'}, {'O'}]",0.41179174984207334,109,0.8728070175438597,0.9035126752279188,5050
"[{'N'}, {'M'}, {'M'}]",0.41157989920771854,138,0.8747877758913412,0.9035126752279188,5050
"[{'N'}, {'V'}, {'T'}]",0.4115792679761341,126,0.8741276815714655,0.9035126752279188,5050
"[{'Y'}, {'Z'}, {'O'}]",0.4115660938642761,126,0.8741418764302059,0.9035126752279188,5050
"[{'N'}, {'O'}, {'V'}]",0.41149820583595487,111,0.8732718894009217,0.9035126752279188,5050
"[{'W'}, {'V'}, {'X'}]",0.4114973342013514,108,0.8730650154798761,0.9035126752279188,5050
"[{'Z'}, {'X'}, {'Z'}]",0.41142770084790226,139,0.875,0.9035126752279188,5050
"[{'Y'}, {'O'}, {'V'}]",0.41131176222771537,116,0.8738095238095238,0.9035126752279188,5050
"[{'V'}, {'N'}, {'M'}]",0.41129800202908084,112,0.8735632183908046,0.9035126752279188,5050
"[{'M'}, {'X'}, {'V'}]",0.41091074481577927,128,0.874969474969475,0.9035126752279188,5050
"[{'U'}, {'O'}, {'M'}]",0.4107961609030938,124,0.8748693834900731,0.9035126752279188,5050
"[{'V'}, {'Z'}, {'O'}]",0.41078810651482234,125,0.8749357986646122,0.9035126752279188,5050
"[{'W'}, {'Z'}, {'X'}]",0.410781501634472,126,0.875,0.9035126752279188,5050
"[{'V'}, {'Z'}, {'Z'}]",0.4105910320019468,124,0.875098814229249,0.9035126752279188,5050
"[{'W'}, {'X'}, {'N'}]",0.4105892207063905,137,0.8758002560819462,0.9035126752279188,5050
"[{'M'}, {'N'}, {'M'}]",0.4105668221929293,123,0.8750684931506849,0.9035126752279188,5050
"[{'P'}, {'V'}, {'W'}]",0.4105060243346953,117,0.8747800586510264,0.9035126752279188,5050
"[{'V'}, {'W'}, {'X'}]",0.41037454507944104,113,0.8746811224489796,0.9035126752279188,5050
"[{'Z'}, {'N'}, {'O'}]",0.41030418553804415,113,0.8747628083491461,0.9035126752279188,5050
"[{'P'}, {'U'}, {'U'}]",0.41026456652030174,142,0.8764022435897436,0.9035126752279188,5050
"[{'W'}, {'Y'}, {'W'}]",0.4102301874910319,129,0.8757823784304285,0.9035126752279188,5050
"[{'O'}, {'O'}, {'M'}]",0.4102240675867366,128,0.8757352941176471,0.9035126752279188,5050
"[{'O'}, {'O'}, {'O'}]",0.4100978773866113,122,0.8755446623093682,0.9035126752279188,5050
"[{'O'}, {'T'}, {'V'}]",0.4098407162539546,118,0.8756104567652974,0.9035126752279188,5050
"[{'O'}, {'W'}, {'X'}]",0.4097728788119025,125,0.8760880696364567,0.9035126752279188,5050
"[{'M'}, {'P'}, {'P'}]",0.40974701249176515,120,0.8758370535714286,0.9035126752279188,5050
"[{'T'}, {'M'}, {'Z'}]",0.40967734490634533,131,0.8765172735760971,0.9035126752279188,5050
"[{'X'}, {'Y'}, {'P'}]",0.4095170292905397,111,0.8755685510071475,0.9035126752279188,5050
"[{'U'}, {'T'}, {'U'}]",0.4093460884288206,144,0.8775230256711738,0.9035126752279188,5050
"[{'V'}, {'W'}, {'M'}]",0.4093188684918707,117,0.8761709601873536,0.9035126752279188,5050
"[{'V'}, {'Y'}, {'N'}]",0.40931470961816274,133,0.8770380434782609,0.9035126752279188,5050
"[{'T'}, {'Y'}, {'U'}]",0.40917059082711316,134,0.8772555134773892,0.9035126752279188,5050
"[{'Y'}, {'U'}, {'U'}]",0.40915192180266746,127,0.8769230769230769,0.9035126752279188,5050
"[{'T'}, {'O'}, {'M'}]",0.4090387936651313,136,0.8775065387968615,0.9035126752279188,5050
"[{'N'}, {'M'}, {'N'}]",0.40901239080070495,112,0.8762455801992928,0.9035126752279188,5050
"[{'P'}, {'P'}, {'W'}]",0.40884374448073,108,0.876206896551724,0.9035126752279188,5050
"[{'W'}, {'X'}, {'P'}]",0.40884182843987593,129,0.8773955773955774,0.9035126752279188,5050
"[{'N'}, {'U'}, {'V'}]",0.40878475433761097,111,0.8764667535853976,0.9035126752279188,5050
"[{'V'}, {'X'}, {'P'}]",0.4087746210640958,117,0.87683284457478,0.9035126752279188,5050
"[{'Y'}, {'X'}, {'P'}]",0.4085837944439419,110,0.8766578249336869,0.9035126752279188,5050
"[{'T'}, {'V'}, {'W'}]",0.40858311938055325,122,0.8773448773448773,0.9035126752279188,5050
"[{'V'}, {'Z'}, {'P'}]",0.40856693382254705,121,0.8773109243697479,0.9035126752279188,5050
"[{'T'}, {'W'}, {'U'}]",0.40851128173377294,134,0.8780379041248607,0.9035126752279188,5050
"[{'W'}, {'W'}, {'U'}]",0.4084069131740259,110,0.8768819003011041,0.9035126752279188,5050
"[{'V'}, {'O'}, {'M'}]",0.4083802534303992,123,0.8776483050847457,0.9035126752279188,5050
"[{'N'}, {'M'}, {'X'}]",0.4083245398415458,105,0.8766766020864382,0.9035126752279188,5050
"[{'W'}, {'W'}, {'W'}]",0.40817757969520474,118,0.8776334776334775,0.9035126752279188,5050
"[{'X'}, {'T'}, {'X'}]",0.40805856442025745,131,0.8784478728377746,0.9035126752279188,5050
"[{'U'}, {'P'}, {'U'}]",0.40801034530800306,129,0.878411306042885,0.9035126752279188,5050
