pattern,quality,support,pattern_auc,global_auc,theta
"[{'A'}, {'B'}, {'C'}]",1.0313974610894319,50,0.6512000000000001,0.9035126752279188,0.5
"[{'M'}, {'X'}, {'N'}, {'Z'}]",0.8810693600876048,24,0.6134453781512605,0.9035126752279188,0.5
"[{'N'}, {'Z'}, {'W'}, {'Z'}]",0.8206608291280463,20,0.6161616161616161,0.9035126752279188,0.5
"[{'P'}, {'V'}, {'P'}, {'Z'}]",0.5556136148342561,20,0.7023809523809524,0.9035126752279188,0.5
"[{'X'}, {'V'}]",0.5449060786259864,632,0.8785595735050044,0.9035126752279188,0.5
"[{'W'}, {'O'}, {'M'}]",0.5414977480162857,132,0.8092819210344031,0.9035126752279188,0.5
"[{'Z'}, {'O'}]",0.5389510209591069,659,0.8824195866032939,0.9035126752279188,0.5
"[{'V'}, {'X'}]",0.538114409488664,633,0.8827681923476317,0.9035126752279188,0.5
"[{'O'}, {'M'}]",0.5367422926954573,654,0.8838851477740367,0.9035126752279188,0.5
"[{'O'}, {'V'}]",0.5361649428679595,638,0.8841788393209633,0.9035126752279188,0.5
"[{'N'}, {'U'}]",0.535616177217678,636,0.8845674617301531,0.9035126752279188,0.5
"[{'W'}, {'N'}]",0.5335740652075058,657,0.8862928637627433,0.9035126752279188,0.5
"[{'W'}, {'T'}, {'O'}]",0.5326998362004101,118,0.8096198156682028,0.9035126752279188,0.5
"[{'W'}, {'O'}]",0.5322099998469646,638,0.8873099639336852,0.9035126752279188,0.5
"[{'W'}, {'M'}]",0.5318259449895473,641,0.8876654984423676,0.9035126752279188,0.5
"[{'N'}, {'Z'}]",0.5294527627393777,599,0.8896966993755576,0.9035126752279188,0.5
"[{'Y'}, {'N'}]",0.5287287399658005,691,0.8909370070812498,0.9035126752279188,0.5
"[{'M'}, {'V'}]",0.5282188256497755,672,0.8914135374312366,0.9035126752279188,0.5
"[{'N'}, {'M'}]",0.5281548463835207,612,0.8912017259056733,0.9035126752279188,0.5
"[{'X'}, {'N'}]",0.5279111071477751,649,0.8916646054909722,0.9035126752279188,0.5
"[{'X'}, {'O'}]",0.526933655897187,639,0.8928359449192782,0.9035126752279188,0.5
"[{'N'}, {'Z'}, {'Z'}]",0.5201914412350532,111,0.8127057274522713,0.9035126752279188,0.5
"[{'N'}, {'Z'}, {'W'}]",0.49555698815334204,106,0.8214285714285714,0.9035126752279188,0.5
"[{'Z'}, {'M'}, {'O'}]",0.49259441746968424,135,0.8274257864421798,0.9035126752279188,0.5
"[{'U'}, {'Y'}, {'U'}]",0.4721509461594473,130,0.8355029585798817,0.9035126752279188,0.5
"[{'V'}, {'X'}, {'M'}]",0.4700589572037208,111,0.8337670787247886,0.9035126752279188,0.5
"[{'N'}, {'N'}, {'V'}]",0.4682119453142677,106,0.8338680926916221,0.9035126752279188,0.5
"[{'N'}, {'M'}, {'V'}]",0.46816570701783067,119,0.8358757062146893,0.9035126752279188,0.5
"[{'O'}, {'M'}, {'V'}]",0.46194286895426917,124,0.8396029258098223,0.9035126752279188,0.5
"[{'X'}, {'V'}, {'T'}]",0.46186794707783163,112,0.8379942140790743,0.9035126752279188,0.5
"[{'N'}, {'W'}, {'X'}]",0.46164074247132847,114,0.8383995037220843,0.9035126752279188,0.5
"[{'W'}, {'N'}, {'T'}]",0.46093312509096795,117,0.8391812865497076,0.9035126752279188,0.5
"[{'O'}, {'Y'}, {'N'}]",0.4587818223823049,137,0.8427350427350427,0.9035126752279188,0.5
"[{'M'}, {'T'}, {'V'}]",0.4583534477266509,128,0.8419117647058824,0.9035126752279188,0.5
"[{'Y'}, {'N'}, {'U'}]",0.45780778868862493,121,0.8413223140495868,0.9035126752279188,0.5
"[{'W'}, {'O'}, {'V'}]",0.4531447505271219,112,0.8426282051282051,0.9035126752279188,0.5
"[{'M'}, {'V'}, {'V'}]",0.4493006397595537,120,0.8457904973603779,0.9035126752279188,0.5
"[{'O'}, {'N'}, {'M'}]",0.4477898436353841,115,0.8460375075620085,0.9035126752279188,0.5
"[{'Y'}, {'O'}, {'V'}, {'W'}]",0.4476329139998716,29,0.764423076923077,0.9035126752279188,0.5
"[{'X'}, {'Z'}, {'Z'}]",0.44674642360578465,124,0.8477034649476228,0.9035126752279188,0.5
"[{'T'}, {'P'}, {'Z'}]",0.4461306261274971,127,0.8483870967741935,0.9035126752279188,0.5
"[{'Z'}, {'X'}, {'O'}]",0.44532250504119175,128,0.8489583333333334,0.9035126752279188,0.5
"[{'Z'}, {'O'}, {'O'}]",0.44478579485237135,116,0.8479166666666667,0.9035126752279188,0.5
"[{'V'}, {'X'}, {'V'}]",0.44381823024306843,125,0.849512069851053,0.9035126752279188,0.5
"[{'N'}, {'V'}, {'X'}]",0.4437880568761764,116,0.8485119047619049,0.9035126752279188,0.5
"[{'W'}, {'M'}, {'V'}]",0.44242943484799035,120,0.8497902097902098,0.9035126752279188,0.5
"[{'Y'}, {'M'}, {'N'}]",0.44236630728501247,119,0.8497159090909091,0.9035126752279188,0.5
"[{'V'}, {'X'}, {'N'}]",0.4406798543819963,120,0.8508571428571429,0.9035126752279188,0.5
"[{'W'}, {'Y'}, {'O'}, {'W'}]",0.44030209584527513,25,0.7628205128205128,0.9035126752279188,0.5
"[{'X'}, {'U'}, {'V'}]",0.43997872396763293,99,0.8487179487179487,0.9035126752279188,0.5
