pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'A'}, {'B'}, {'C'}]",1.3173022355179564,0.5952,50,"{1.0: 25, 0.0: 25}",0.0009990009990009,0.0389610389610389,True,0.8998399631172461
"[{'O'}, {'U'}]",0.5790745508357064,0.843169488739109,156,"{1.0: 79, 0.0: 77}",0.0109890109890109,0.2142857142857143,False,0.8998399631172461
"[{'Y'}, {'N'}]",0.572084500352845,0.8469796506970036,158,"{1.0: 79, 0.0: 79}",0.0239760239760239,0.2337662337662337,False,0.8998399631172461
"[{'W'}, {'T'}]",0.5704685049006426,0.8469085523880043,147,"{1.0: 73, 0.0: 74}",0.0219780219780219,0.2337662337662337,False,0.8998399631172461
"[{'V'}, {'U'}]",0.5604993975202476,0.8541176470588235,165,"{1.0: 80, 0.0: 85}",0.0349650349650349,0.2688311688311688,False,0.8998399631172461
"[{'T'}, {'Y'}]",0.5558405428384958,0.8573604763883119,170,"{0.0: 83, 1.0: 87}",0.0429570429570429,0.2688311688311688,False,0.8998399631172461
"[{'X'}, {'V'}]",0.550034243966507,0.8606941838649156,160,"{1.0: 78, 0.0: 82}",0.0599400599400599,0.2688311688311688,False,0.8998399631172461
"[{'V'}, {'T'}]",0.5470871495907799,0.8631625967837998,165,"{1.0: 92, 0.0: 73}",0.0639360639360639,0.2688311688311688,False,0.8998399631172461
"[{'V'}, {'W'}]",0.5448472840644036,0.8643501503508185,155,"{1.0: 82, 0.0: 73}",0.0659340659340659,0.2688311688311688,False,0.8998399631172461
"[{'U'}, {'X'}]",0.5447367243485681,0.8638443935926774,145,"{1.0: 76, 0.0: 69}",0.0689310689310689,0.2688311688311688,False,0.8998399631172461
"[{'N'}, {'U'}]",0.5388719323432265,0.8692585895117542,149,"{0.0: 70, 1.0: 79}",0.1188811188811188,0.2964426877470355,False,0.8998399631172461
"[{'P'}, {'Z'}]",0.5372908938618307,0.8716676120249575,168,"{1.0: 82, 0.0: 86}",0.1218781218781218,0.2964426877470355,False,0.8998399631172461
"[{'W'}, {'V'}]",0.537005306889982,0.8717795979151155,164,"{1.0: 79, 0.0: 85}",0.1348651348651348,0.2964426877470355,False,0.8998399631172461
"[{'T'}, {'U'}]",0.5349538957782739,0.8728501228501229,140,"{1.0: 74, 0.0: 66}",0.1448551448551448,0.2964426877470355,False,0.8998399631172461
"[{'P'}, {'W'}]",0.533813546749582,0.874960430515986,159,"{0.0: 81, 1.0: 78}",0.1468531468531468,0.2964426877470355,False,0.8998399631172461
"[{'T'}, {'T'}]",0.533272370426709,0.8756218905472637,160,"{0.0: 67, 1.0: 93}",0.1438561438561438,0.2964426877470355,False,0.8998399631172461
"[{'Y'}, {'V'}]",0.5331020191556571,0.8759689922480621,164,"{1.0: 78, 0.0: 86}",0.1748251748251748,0.2964426877470355,False,0.8998399631172461
"[{'U'}, {'O'}]",0.5314122381997323,0.8783819280273181,175,"{0.0: 81, 1.0: 94}",0.1708291708291708,0.2964426877470355,False,0.8998399631172461
"[{'W'}, {'W'}]",0.5310128492317201,0.8786435786435787,167,"{1.0: 77, 0.0: 90}",0.1958041958041958,0.3139146567717996,False,0.8998399631172461
"[{'T'}, {'M'}]",0.5304695606600478,0.880039656311963,191,"{1.0: 102, 0.0: 89}",0.1728271728271728,0.2964426877470355,False,0.8998399631172461
"[{'V'}, {'P'}]",0.5303934518175912,0.8790157211209844,153,"{1.0: 76, 0.0: 77}",0.1678321678321678,0.2964426877470355,False,0.8998399631172461
"[{'W'}, {'X'}]",0.5301429802619865,0.8792982456140351,151,"{0.0: 75, 1.0: 76}",0.1668331668331668,0.2964426877470355,False,0.8998399631172461
"[{'Z'}, {'X'}]",0.5296100059156915,0.8802265533899717,156,"{1.0: 69, 0.0: 87}",0.2127872127872128,0.3139146567717996,False,0.8998399631172461
"[{'P'}, {'X'}]",0.5295086134287734,0.8801169590643275,148,"{1.0: 72, 0.0: 76}",0.2167832167832167,0.3139146567717996,False,0.8998399631172461
"[{'N'}, {'Y'}]",0.5287196479174664,0.882036089415567,173,"{0.0: 94, 1.0: 79}",0.2257742257742257,0.3139146567717996,False,0.8998399631172461
"[{'Z'}, {'U'}]",0.5276828229700309,0.8833491611269388,159,"{1.0: 78, 0.0: 81}",0.2557442557442557,0.3139146567717996,False,0.8998399631172461
"[{'T'}, {'W'}]",0.5266961707107597,0.8856280193236715,182,"{1.0: 92, 0.0: 90}",0.2457542457542457,0.3139146567717996,False,0.8998399631172461
"[{'O'}, {'O'}]",0.5261256754965873,0.8862612612612613,158,"{1.0: 84, 0.0: 74}",0.2657342657342657,0.3139146567717996,False,0.8998399631172461
"[{'V'}, {'Y'}]",0.5254500188557157,0.8883008670194799,190,"{0.0: 83, 1.0: 107}",0.2727272727272727,0.3139146567717996,False,0.8998399631172461
"[{'X'}, {'Y'}]",0.5251788112862489,0.8885853939045428,168,"{0.0: 94, 1.0: 74}",0.3166833166833167,0.3250170881749829,False,0.8998399631172461
"[{'Y'}, {'U'}]",0.5249641713697104,0.8888698630136986,153,"{1.0: 73, 0.0: 80}",0.3136863136863136,0.3250170881749829,False,0.8998399631172461
"[{'O'}, {'T'}]",0.5248592198341514,0.8895318930041153,177,"{1.0: 96, 0.0: 81}",0.2987012987012987,0.3235930735930735,False,0.8998399631172461
"[{'T'}, {'V'}]",0.5248518851454469,0.8896502835538751,184,"{1.0: 92, 0.0: 92}",0.3336663336663337,0.3336663336663337,False,0.8998399631172461
"[{'W'}, {'P'}, {'Z'}]",0.4588387010911551,0.8035714285714286,22,"{1.0: 8, 0.0: 14}",0.0909090909090909,0.2964426877470355,False,0.8998399631172461
"[{'X'}, {'U'}, {'Z'}]",0.4348141369822038,0.8257575757575758,23,"{0.0: 12, 1.0: 11}",0.1438561438561438,0.2964426877470355,False,0.8998399631172461
"[{'T'}, {'V'}, {'Y'}]",0.412724448275747,0.8518518518518519,21,"{1.0: 9, 0.0: 12}",0.2267732267732267,0.3139146567717996,False,0.8998399631172461
"[{'P'}, {'T'}, {'T'}]",0.4057279826955526,0.8645833333333333,20,"{1.0: 12, 0.0: 8}",0.2817182817182817,0.3139146567717996,False,0.8998399631172461
"[{'O'}, {'U'}, {'W'}]",0.4047133050838447,0.869047619047619,26,"{0.0: 14, 1.0: 12}",0.2707292707292707,0.3139146567717996,False,0.8998399631172461
"[{'W'}, {'T'}, {'W'}]",0.404020592592229,0.8686868686868686,20,"{0.0: 11, 1.0: 9}",0.2817182817182817,0.3139146567717996,False,0.8998399631172461
